x-axis	1
second	Volt
-19.98438E+00	+92.41E-03
-19.96875E+00	+92.57E-03
-19.95313E+00	+92.67E-03
-19.93750E+00	+93.21E-03
-19.92188E+00	+93.26E-03
-19.90625E+00	+93.36E-03
-19.89063E+00	+93.66E-03
-19.87500E+00	+93.84E-03
-19.85938E+00	+93.66E-03
-19.84375E+00	+93.79E-03
-19.82813E+00	+93.88E-03
-19.81250E+00	+93.97E-03
-19.79688E+00	+93.92E-03
-19.78125E+00	+93.75E-03
-19.76563E+00	+93.80E-03
-19.75000E+00	+93.99E-03
-19.73438E+00	+94.02E-03
-19.71875E+00	+94.15E-03
-19.70313E+00	+94.09E-03
-19.68750E+00	+94.25E-03
-19.67188E+00	+93.80E-03
-19.65625E+00	+93.98E-03
-19.64063E+00	+94.02E-03
-19.62500E+00	+93.66E-03
-19.60938E+00	+94.03E-03
-19.59375E+00	+94.02E-03
-19.57813E+00	+93.68E-03
-19.56250E+00	+94.07E-03
-19.54688E+00	+94.12E-03
-19.53125E+00	+94.13E-03
-19.51563E+00	+94.00E-03
-19.50000E+00	+93.87E-03
-19.48438E+00	+94.02E-03
-19.46875E+00	+94.29E-03
-19.45313E+00	+94.53E-03
-19.43750E+00	+94.58E-03
-19.42188E+00	+94.92E-03
-19.40625E+00	+94.87E-03
-19.39063E+00	+95.40E-03
-19.37500E+00	+95.51E-03
-19.35938E+00	+95.60E-03
-19.34375E+00	+95.60E-03
-19.32813E+00	+95.77E-03
-19.31250E+00	+96.21E-03
-19.29688E+00	+96.19E-03
-19.28125E+00	+96.03E-03
-19.26563E+00	+95.93E-03
-19.25000E+00	+96.09E-03
-19.23438E+00	+96.29E-03
-19.21875E+00	+96.06E-03
-19.20313E+00	+96.13E-03
-19.18750E+00	+96.15E-03
-19.17188E+00	+95.71E-03
-19.15625E+00	+95.96E-03
-19.14063E+00	+96.05E-03
-19.12500E+00	+95.96E-03
-19.10938E+00	+95.96E-03
-19.09375E+00	+95.95E-03
-19.07813E+00	+96.33E-03
-19.06250E+00	+95.94E-03
-19.04688E+00	+95.98E-03
-19.03125E+00	+95.88E-03
-19.01563E+00	+96.06E-03
-19.00000E+00	+96.26E-03
-18.98438E+00	+96.19E-03
-18.96875E+00	+96.34E-03
-18.95313E+00	+96.29E-03
-18.93750E+00	+96.16E-03
-18.92188E+00	+96.03E-03
-18.90625E+00	+96.32E-03
-18.89063E+00	+96.32E-03
-18.87500E+00	+96.37E-03
-18.85938E+00	+96.32E-03
-18.84375E+00	+96.08E-03
-18.82813E+00	+96.37E-03
-18.81250E+00	+96.45E-03
-18.79688E+00	+96.43E-03
-18.78125E+00	+96.34E-03
-18.76563E+00	+96.37E-03
-18.75000E+00	+96.19E-03
-18.73438E+00	+96.65E-03
-18.71875E+00	+96.42E-03
-18.70313E+00	+96.59E-03
-18.68750E+00	+96.50E-03
-18.67188E+00	+96.35E-03
-18.65625E+00	+96.54E-03
-18.64063E+00	+96.53E-03
-18.62500E+00	+96.69E-03
-18.60938E+00	+97.08E-03
-18.59375E+00	+97.42E-03
-18.57813E+00	+98.29E-03
-18.56250E+00	+98.55E-03
-18.54688E+00	+99.24E-03
-18.53125E+00	+100.11E-03
-18.51563E+00	+100.86E-03
-18.50000E+00	+101.83E-03
-18.48438E+00	+102.92E-03
-18.46875E+00	+104.00E-03
-18.45313E+00	+105.18E-03
-18.43750E+00	+106.06E-03
-18.42188E+00	+107.43E-03
-18.40625E+00	+108.45E-03
-18.39063E+00	+109.95E-03
-18.37500E+00	+111.10E-03
-18.35938E+00	+112.51E-03
-18.34375E+00	+113.66E-03
-18.32813E+00	+114.59E-03
-18.31250E+00	+116.05E-03
-18.29688E+00	+117.31E-03
-18.28125E+00	+118.55E-03
-18.26563E+00	+119.51E-03
-18.25000E+00	+120.69E-03
-18.23438E+00	+121.84E-03
-18.21875E+00	+122.70E-03
-18.20313E+00	+123.63E-03
-18.18750E+00	+124.51E-03
-18.17188E+00	+124.91E-03
-18.15625E+00	+125.70E-03
-18.14063E+00	+126.15E-03
-18.12500E+00	+126.42E-03
-18.10938E+00	+126.77E-03
-18.09375E+00	+127.16E-03
-18.07813E+00	+127.16E-03
-18.06250E+00	+127.09E-03
-18.04688E+00	+127.06E-03
-18.03125E+00	+127.12E-03
-18.01563E+00	+126.73E-03
-18.00000E+00	+126.24E-03
-17.98438E+00	+125.85E-03
-17.96875E+00	+125.57E-03
-17.95313E+00	+124.78E-03
-17.93750E+00	+124.04E-03
-17.92188E+00	+123.40E-03
-17.90625E+00	+122.46E-03
-17.89063E+00	+121.26E-03
-17.87500E+00	+120.41E-03
-17.85938E+00	+119.43E-03
-17.84375E+00	+118.30E-03
-17.82813E+00	+117.23E-03
-17.81250E+00	+116.16E-03
-17.79688E+00	+115.02E-03
-17.78125E+00	+113.75E-03
-17.76563E+00	+112.63E-03
-17.75000E+00	+111.23E-03
-17.73438E+00	+110.21E-03
-17.71875E+00	+109.20E-03
-17.70313E+00	+108.26E-03
-17.68750E+00	+107.26E-03
-17.67188E+00	+106.11E-03
-17.65625E+00	+105.16E-03
-17.64063E+00	+104.10E-03
-17.62500E+00	+103.17E-03
-17.60938E+00	+102.50E-03
-17.59375E+00	+101.75E-03
-17.57813E+00	+101.08E-03
-17.56250E+00	+100.44E-03
-17.54688E+00	+99.98E-03
-17.53125E+00	+99.64E-03
-17.51563E+00	+99.31E-03
-17.50000E+00	+99.15E-03
-17.48438E+00	+98.78E-03
-17.46875E+00	+99.08E-03
-17.45313E+00	+99.05E-03
-17.43750E+00	+99.08E-03
-17.42188E+00	+99.53E-03
-17.40625E+00	+99.64E-03
-17.39063E+00	+100.47E-03
-17.37500E+00	+100.69E-03
-17.35938E+00	+101.26E-03
-17.34375E+00	+101.88E-03
-17.32813E+00	+102.56E-03
-17.31250E+00	+103.45E-03
-17.29688E+00	+103.90E-03
-17.28125E+00	+104.93E-03
-17.26563E+00	+105.96E-03
-17.25000E+00	+106.83E-03
-17.23438E+00	+108.10E-03
-17.21875E+00	+108.79E-03
-17.20313E+00	+110.18E-03
-17.18750E+00	+110.95E-03
-17.17188E+00	+112.11E-03
-17.15625E+00	+113.25E-03
-17.14063E+00	+114.08E-03
-17.12500E+00	+115.21E-03
-17.10938E+00	+115.96E-03
-17.09375E+00	+117.35E-03
-17.07813E+00	+118.25E-03
-17.06250E+00	+119.00E-03
-17.04688E+00	+119.79E-03
-17.03125E+00	+120.74E-03
-17.01563E+00	+121.57E-03
