0.000000	-0.09061	-0.007328
0.033333	-0.08759	-0.006863
0.066667	-0.08456	-0.006165
0.100000	-0.08177	-0.005932
0.133333	-0.07921	-0.005467
0.166667	-0.07642	-0.004769
0.200000	-0.07363	-0.004304
0.233333	-0.07084	-0.003606
0.266667	-0.06804	-0.002908
0.300000	-0.06549	-0.00221
0.333333	-0.06293	-0.001512
0.366667	-0.0599	-0.0005816
0.400000	-0.05711	0.0003489
0.433333	-0.05467	0.001047
0.466667	-0.05188	0.001745
0.500000	-0.04955	0.002443
0.533333	-0.04629	0.003606
0.566667	-0.04397	0.004304
0.600000	-0.04118	0.005234
0.633333	-0.03838	0.006397
0.666667	-0.03559	0.00756
0.700000	-0.03327	0.008491
0.733333	-0.03047	0.009654
0.766667	-0.02768	0.01058
0.800000	-0.02536	0.01152
0.833333	-0.02257	0.01291
0.866667	-0.02024	0.01384
0.900000	-0.01745	0.01524
0.933333	-0.01512	0.0164
0.966667	-0.01233	0.01756
1.000000	-0.01	0.01896
1.033333	-0.007212	0.02012
1.066667	-0.00442	0.02175
1.100000	-0.002094	0.02291
1.133333	0.0006979	0.02431
1.166667	0.003024	0.02571
1.200000	0.00535	0.0271
1.233333	0.007677	0.02873
1.266667	0.01047	0.03013
1.300000	0.01279	0.03152
1.333333	0.01512	0.03315
1.366667	0.01791	0.03478
1.400000	0.02024	0.03641
1.433333	0.02257	0.03804
1.466667	0.02536	0.03966
1.500000	0.02768	0.04129
1.533333	0.03001	0.04292
1.566667	0.03234	0.04455
1.600000	0.03466	0.04641
1.633333	0.03699	0.04827
1.666667	0.03931	0.0499
1.700000	0.04211	0.05199
1.733333	0.04443	0.05362
1.766667	0.04676	0.05548
1.800000	0.04862	0.05734
1.833333	0.05141	0.05944
1.866667	0.05374	0.0613
1.900000	0.05606	0.06316
1.933333	0.05792	0.06525
1.966667	0.06025	0.06735
2.000000	0.06258	0.06944
2.033333	0.0649	0.0713
2.066667	0.06723	0.07363
2.100000	0.06956	0.07572
2.133333	0.07142	0.07781
2.166667	0.07374	0.07991
2.200000	0.07607	0.08223
2.233333	0.07793	0.08433
2.266667	0.08026	0.08642
2.300000	0.08212	0.08875
2.333333	0.08444	0.09084
2.366667	0.08631	0.09317
2.400000	0.08863	0.09549
2.433333	0.09049	0.09782
2.466667	0.09235	0.1001
2.500000	0.09468	0.1022
2.533333	0.09654	0.1048
2.566667	0.09887	0.1071
2.600000	0.1007	0.1097
2.633333	0.1021	0.1118
2.666667	0.1045	0.1143
