0.000000	-0.08734	-0.009915
0.033333	-0.08444	-0.009692
0.066667	-0.08154	-0.009469
0.100000	-0.07887	-0.009469
0.133333	-0.0762	-0.009469
0.166667	-0.07397	-0.009469
0.200000	-0.0713	-0.009469
0.233333	-0.06862	-0.009246
0.266667	-0.06595	-0.009469
0.300000	-0.06327	-0.009692
0.333333	-0.0606	-0.009915
0.366667	-0.05793	-0.009915
0.400000	-0.05525	-0.01014
0.433333	-0.05258	-0.01036
0.466667	-0.04991	-0.01058
0.500000	-0.04746	-0.01081
0.533333	-0.04478	-0.01103
0.566667	-0.04211	-0.01125
0.600000	-0.03944	-0.01147
0.633333	-0.03698	-0.01192
0.666667	-0.03409	-0.01259
0.700000	-0.03141	-0.01303
0.733333	-0.02896	-0.01348
0.766667	-0.02629	-0.01392
0.800000	-0.02362	-0.01437
0.833333	-0.02117	-0.01482
0.866667	-0.01849	-0.01548
0.900000	-0.01582	-0.01593
0.933333	-0.01337	-0.0166
0.966667	-0.01069	-0.01704
1.000000	-0.008021	-0.01794
1.033333	-0.005347	-0.0186
1.066667	-0.002896	-0.01949
1.100000	0	-0.02016
1.133333	0.002674	-0.02105
1.166667	0.005124	-0.02172
1.200000	0.007798	-0.02239
1.233333	0.01025	-0.02328
1.266667	0.01292	-0.02417
1.300000	0.01537	-0.02506
1.333333	0.01805	-0.02596
1.366667	0.02072	-0.02707
1.400000	0.02339	-0.02818
1.433333	0.02607	-0.02908
1.466667	0.02874	-0.03019
1.500000	0.03141	-0.0313
1.533333	0.03387	-0.03242
1.566667	0.03654	-0.03331
1.600000	0.03877	-0.03442
1.633333	0.04166	-0.03554
1.666667	0.04411	-0.03687
1.700000	0.04701	-0.03821
1.733333	0.04946	-0.03932
1.766667	0.05213	-0.04088
1.800000	0.05459	-0.042
1.833333	0.05704	-0.04333
1.866667	0.05971	-0.04467
1.900000	0.06238	-0.04601
1.933333	0.06461	-0.04734
1.966667	0.06706	-0.04868
2.000000	0.06974	-0.05024
2.033333	0.07241	-0.0518
2.066667	0.07486	-0.05314
2.100000	0.07753	-0.0547
2.133333	0.07998	-0.05626
2.166667	0.08244	-0.05782
2.200000	0.08489	-0.05938
2.233333	0.08756	-0.06094
2.266667	0.09001	-0.0625
2.300000	0.09224	-0.06383
2.333333	0.09447	-0.06561
2.366667	0.09692	-0.06717
2.400000	0.09937	-0.06896
2.433333	0.1018	-0.07074
2.466667	0.1043	-0.0723
2.500000	0.1065	-0.07408
2.533333	0.1089	-0.07586
2.566667	0.1114	-0.07765
2.600000	0.1141	-0.07943
2.633333	0.1163	-0.08121
2.666667	0.1185	-0.08299
