Temps	V1	Temps	V2	Fréquence	S_Amplitude
0	-0.467232198920101	0	-1.62665107101202	0	0
5E-6	-0.311833258252591	5E-6	-1.64323617238551	202.026984327604	0
1E-5	-0.1231345445849	1E-5	-1.65982127375901	404.053968655207	0.00413234939631065
1.5E-5	0.082214055582881	1.5E-5	-1.681934742257	606.080952982811	0
2E-5	0.282012693583965	2E-5	-1.69299147650599	808.107937310415	0
2.5E-5	0.459611482918262	2.5E-5	-1.70957657787949	1010.13492163802	0
3E-5	0.598360537085682	3E-5	-1.73169004637748	1212.16190596562	0
3.5E-5	0.676060007419437	3.5E-5	-1.74827514775097	1414.18889029323	0
4E-5	0.692709893919528	4E-5	-1.75380351487547	1616.21587462083	0
4.5E-5	0.63721027225256	4.5E-5	-1.77591698337346	1818.24285894843	0
5E-5	0.51511110458523	5E-5	-1.78697371762246	2020.26984327604	0
5.5E-5	0.34306227741763	5.5E-5	-1.79803045187145	2222.29682760364	0
6E-5	0.137713677249849	6E-5	-1.81461555324495	2424.32381193124	0
6.5E-5	-0.0842848094180226	6.5E-5	-1.82567228749394	2626.35079625885	0
7E-5	-0.300733333919197	7E-5	-1.84225738886744	2828.37778058645	0
7.5E-5	-0.489432047586888	7.5E-5	-1.84778575599194	3030.40476491405	0
8E-5	-0.639281026087701	8E-5	-1.85884249024093	3232.43174924166	0
8.5E-5	-0.722530458588153	8.5E-5	-1.86989922448993	3434.45873356926	0
9E-5	-0.74473030725494	9E-5	-1.88095595873892	3636.48571789687	0
9.5E-5	-0.672580799087882	9.5E-5	-1.89754106011242	3838.51270222447	0
0.0001	-0.550481631420553	0.0001	-1.90306942723691	4040.53968655207	0
0.000105	-0.367332879919559	0.000105	-1.91412616148591	4242.56667087968	0
0.00011	-0.145334393251687	0.00011	-1.92518289573491	4444.59365520728	0
0.000115	0.0933139799162745	0.000115	-1.9362396299839	4646.62063953488	0
0.00012	0.32641239091754	0.00012	-1.9472963642329	4848.64762386249	0
0.000125	0.520661066751927	0.000125	-1.9528247313574	5050.67460819009	0
0.00013	0.676060007419437	0.00013	-1.95835309848189	5252.70159251769	0
0.000135	0.764859402086586	0.000135	-1.96940983273089	5454.7285768453	0
0.00014	0.781509288586676	0.00014	-1.97493819985539	5656.7555611729	0
0.000145	0.709359780419618	0.000145	-1.98046656697989	5858.78254550051	0
0.00015	0.570610726252198	0.00015	-1.98599493410438	6060.80952982811	0
