Fréquence	S_Amplitude	Temps	V1
0	0.00515691174876716	0	-0.0490990169346333
101.835121625064	0	5E-6	-0.038038294762373
203.670243250127	0	1E-5	-0.0269775725901127
305.505364875191	0	1.5E-5	-0.0103864893317223
407.340486500255	0	2E-5	-0.00485612824559212
509.175608125318	0.0055623564021869	2.5E-5	0.000674232840538025
611.010729750382	0	3E-5	0.00620459392666817
712.845851375446	0	3.5E-5	0.00620459392666817
814.680973000509	0	4E-5	0.000674232840538025
916.516094625573	0	4.5E-5	-0.00485612824559212
1018.35121625064	0	5E-5	-0.0214472115039825
1120.1863378757	0	5.5E-5	-0.0325079336762428
1222.02145950076	0	6E-5	-0.0546293780207634
1323.85658112583	0	6.5E-5	-0.076750822365284
1425.69170275089	0	7E-5	-0.0933419056236744
1527.52682437596	0	7.5E-5	-0.115463349968195
1629.36194600102	0	8E-5	-0.137584794312716
1731.19706762608	0	8.5E-5	-0.154175877571106
1833.03218925115	0	9E-5	-0.176297321915627
1934.86731087621	0	9.5E-5	-0.187358044087887
2036.70243250127	0	0.0001	-0.192888405174017
2138.53755412634	0	0.000105	-0.192888405174017
2240.3726757514	0	0.00011	-0.181827683001757
2342.20779737646	0	0.000115	-0.176297321915627
2444.04291900153	0	0.00012	-0.154175877571106
2545.87804062659	0	0.000125	-0.132054433226585
2647.71316225166	0.00400098276415134	0.00013	-0.0988722667098045
2749.54828387672	0.00427962991960934	0.000135	-0.0656901001930237
2851.38340550178	0.00455903030295257	0.00014	-0.0214472115039825
2953.21852712685	0.00475393221842577	0.000145	0.0227956771850586
3055.05364875191	0.00528630914294145	0.00015	0.0670385658740997
3156.88877037697	0.00549051117353039	0.000155	0.116811815649271
3258.72389200204	0.00591198850589745	0.00016	0.172115426510572
3360.5590136271	0.00625350288706717	0.000165	0.216358315199614
3462.39413525217	0.00666949050593895	0.00017	0.260601203888655
3564.22925687723	0.00770197123300361	0.000175	0.304844092577696
3666.06437850229	0.00846642610417991	0.00018	0.338026259094477
3767.89950012736	0.00971458894669087	0.000185	0.365678064525127
3869.73462175242	0.0111134438227478	0.00019	0.387799508869648
3971.56974337748	0.0130549528649927	0.000195	0.398860231041908
4073.40486500255	0.0173579145131783	0.0002	0.393329869955778
4175.23998662761	0.0220024251287411	0.000205	0.382269147783518
4277.07510825267	0.0321426195045655	0.00021	0.360147703438997
4378.91022987774	0.0591160671560719	0.000215	0.326965536922216
4480.7453515028	0.361663022724099	0.00022	0.288253009319305
4582.58047312787	0.0878175008999002	0.000225	0.238479759544134
4684.41559475293	0.0393013134874222	0.00023	0.177645787596703
4786.25071637799	0.0254438134575766	0.000235	0.111281454563141
4888.08583800306	0.018753172503696	0.00024	0.0449171215295792
4989.92095962812	0.0246406276045122	0.000245	-0.038038294762373
5091.75608125318	0.0140428342716631	0.00025	-0.120993711054325
5193.59120287825	0.0122986627997585	0.000255	-0.192888405174017
5295.42632450331	0.0117031194968592	0.00026	-0.264783099293709
5397.26144612837	0.0132114862396048	0.000265	-0.342208154499531
5499.09656775344	0.39097171695863	0.00027	-0.408572487533092
5600.9316893785	0	0.000275	-0.458345737308264
5702.76681100357	0	0.00028	-0.508118987083435
5804.60193262863	0.0041229210765778	0.000285	-0.546831514686346
5906.43705425369	0	0.00029	-0.574483320116997
6008.27217587876	0	0.000295	-0.580013681203127
6110.10729750382	0	0.0003	-0.568952959030867
6211.94241912888	0	0.000305	-0.546831514686346
6313.77754075395	0	0.00031	-0.508118987083435
6415.61266237901	0	0.000315	-0.463876098394394
6517.44778400408	0	0.00032	-0.391981404274702
6619.28290562914	0	0.000325	-0.32008671015501
6721.1180272542	0	0.00033	-0.237131293863058
6822.95314887927	0	0.000335	-0.143115155398846
6924.78827050433	0	0.00034	-0.0490990169346333
7026.62339212939	0	0.000345	0.0504474826157093
7128.45851375446	0	0.00035	0.149993982166052
7230.29363537952	0	0.000355	0.249540481716394
7332.12875700459	0	0.00036	0.343556620180607
7433.96387862965	0	0.000365	0.432042397558689
7535.79900025471	0	0.00037	0.509467452764511
7637.63412187978	0	0.000375	0.575831785798073
7739.46924350484	0	0.00038	0.631135396659374
7841.3043651299	0	0.000385	0.664317563176155
7943.13948675497	0	0.00039	0.691969368606806
8044.97460838003	0	0.000395	0.697499729692936
8146.80973000509	0	0.0004	0.680908646434546
8248.64485163016	0	0.000405	0.647726479917765
8350.47997325522	0	0.00041	0.603483591228724
8452.31509488028	0	0.000415	0.542649619281292
8554.15021650535	0	0.00042	0.45969420298934
8655.98533813041	0	0.000425	0.376738786697388
8757.82045975548	0	0.00043	0.277192287147045
8859.65558138054	0	0.000435	0.172115426510572
8961.4907030056	0	0.00044	0.0615082047879696
9063.32582463067	0	0.000445	-0.0546293780207634
9165.16094625573	0	0.00045	-0.165236599743366
9266.99606788079	0	0.000455	-0.275843821465969
9368.83118950586	0	0.00046	-0.386451043188572
9470.66631113092	0	0.000465	-0.480467181652784
9572.50143275599	0	0.00047	-0.563422597944736
9674.33655438105	0	0.000475	-0.635317292064428
9776.17167600611	0	0.00048	-0.69062090292573
