Temps	V1	Fréquence	S_Amplitude{4}
0	-0.45956443855539	0	0
2E-5	-0.178435114212334	25.1259858911513	0
4E-5	0.205735254858155	50.2519717823027	0
6E-5	0.552977619459853	75.377957673454	0
8E-5	0.722727317421231	100.503943564605	0
0.0001	0.611943304014858	125.629929455757	0
0.00012	0.240876420401037	150.755915346908	0
0.00014	-0.267181447532494	175.881901238059	0
0.00016	-0.722825373639353	201.007887129211	0
0.00018	-0.945584626402706	226.133873020362	0
0.0002	-0.782982284144964	251.259858911513	0
0.00022	-0.301727000100072	276.385844802665	0
0.00024	0.350469207856804	301.511830693816	0
0.00026	0.918683986295946	326.637816584967	0
0.00028	1.18551859923173	351.763802476119	0
0.0003	0.983605800603982	376.88978836727	0
0.00032	0.382036695547868	402.015774258421	0
0.00034	-0.414297852432355	427.141760149573	0
0.00036	-1.10461329080863	452.267746040724	0
0.00038	-1.19812452793121	477.393731931875	0
0.0004	-1.15404916775879	502.519717823027	0
0.00042	-0.432761854666751	527.645703714178	0
0.00044	0.501159290608484	552.771689605329	0
0.00046	1.24091060593491	577.897675496481	0
0.00048	1.24091060593491	603.023661387632	0
0.0005	1.24091060593491	628.149647278783	0
0.00052	0.505328581435606	653.275633169935	0
0.00054	-0.540567803196609	678.401619061086	0
0.00056	-1.19812452793121	703.527604952237	0
0.00058	-1.19812452793121	728.653590843389	0
0.0006	-1.19812452793121	753.77957673454	0
0.00062	-0.525677478814032	778.905562625692	0
0.00064	0.600031044508796	804.031548516843	0
0.00066	1.24091060593491	829.157534407994	0
0.00068	1.24091060593491	854.283520299145	0
0.0007	1.24091060593491	879.409506190297	0
0.00072	0.571441621694248	904.535492081448	0
0.00074	-0.600129100726917	929.661477972599	0
0.00076	-1.19812452793121	954.787463863751	0
0.00078	-1.19812452793121	979.913449754902	0
0.0008	-1.19812452793121	1005.03943564605	0
0.00082	-0.550097610801458	1030.1654215372	0
0.00084	0.61432575591607	1055.29140742836	0
0.00086	1.24091060593491	1080.41739331951	0
0.00088	1.24091060593491	1105.54337921066	0
0.0009	1.24091060593491	1130.66936510181	0
0.00092	0.545830263756216	1155.79535099296	0
0.00094	-0.569157226011157	1180.92133688411	0
0.00096	-1.19812452793121	1206.04732277526	0
0.00098	-1.19812452793121	1231.17330866642	0
0.001	-1.19812452793121	1256.29929455757	0
0.00102	-0.483984570542816	1281.42528044872	0
0.00104	0.531535552348942	1306.55126633987	0
0.00106	1.24091060593491	1331.67725223102	0
0.00108	1.24091060593491	1356.80323812217	0
0.0011	1.22423344262643	1381.92922401332	0
0.00112	0.446362896880601	1407.05520990447	0
0.00114	-0.451225856901146	1432.18119579563	0
0.00116	-1.12724658387015	1457.30718168678	0
0.00118	-1.19812452793121	1482.43316757793	0
0.0012	-1.03075728187105	1507.55915346908	0
0.00122	-0.361288297630381	1532.68513936023	0
0.00124	0.385014760424383	1557.81112525138	0
0.00126	0.937147988530342	1582.93711114253	0
0.00128	1.11047136434354	1608.06309703369	0
0.0013	0.84601920330897	1633.18908292484	0
0.00132	0.301033330906648	1658.31506881599	0
0.00134	-0.301727000100072	1683.44105470714	0
0.00136	-0.741289375873748	1708.56704059829	0
0.00138	-0.87291984341573	1733.69302648944	0
0.0014	-0.653734268504195	1758.81901238059	0
0.00142	-0.22787099116249	1783.94499827174	0
0.00144	0.234920290648006	1809.0709841629	0
0.00146	0.564889878965914	1834.19697005405	0
0.00148	0.660783567989711	1859.3229559452	0
0.0015	0.498776838707272	1884.44894183635	0
0.00152	0.175358993117698	1909.5749277275	0
0.00154	-0.175457049335819	1934.70091361865	0
0.00156	-0.425018885987811	1959.8268995098	0
0.00158	-0.500066120875999	1984.95288540096	0
0.0016	-0.372604944161139	2010.07887129211	0
0.00162	-0.133764141064603	2035.20485718326	0
0.00164	0.135452923772391	2060.33084307441	0
0.00166	0.330218366696499	2085.45682896556	0
0.00168	0.395735793979838	2110.58281485671	0
0.0017	0.301033330906648	2135.70880074786	0
0.00172	0.108650339883752	2160.83478663902	0
0.00174	-0.118278203706723	2185.96077253017	0
0.00176	-0.296962096297648	2211.08675842132	0
0.00178	-0.372009331185836	2236.21274431247	0
0.0018	-0.29934454819886	2261.33873020362	0
0.00182	-0.111130848003086	2286.46471609477	0
0.00184	0.12175382534042	2311.59070198592	0
0.00186	0.326049075869378	2336.71668787707	0
0.00188	0.422538377868477	2361.84267376823	0
0.0019	0.347491142980289	2386.96865965938	0
0.00192	0.133070471871179	2412.09464555053	0
0.00194	-0.152823756274302	2437.22063144168	0
0.00196	-0.41906275623478	2462.34661733283	0
0.00198	-0.548906384850852	2487.47260322398	0
0.002	-0.458968825580087	2512.59858911513	0
0.00202	-0.177839501237031	2537.72457500628	0
0.00204	0.207522093784064	2562.85056089744	0
0.00206	0.555955684336368	2587.97654678859	0
0.00208	0.727492221223656	2613.10253267974	0
0.0021	0.60658278723713	2638.22851857089	0
