Temps	V1	Fréquence	S_Amplitude{2}
0	-0.296962096297648	0	0
4E-7	-0.292197192495223	1111.33376986994	0.0141521021532434
8E-7	-0.285049836791586	2222.66753973988	0.0161158622001746
1.2E-6	-0.274924416211434	3334.00130960983	0.0255714658769274
1.6E-6	-0.264798995631281	4445.33507947977	0.387165792357327
2E-6	-0.259438478853554	5556.66884934971	0.384810925380926
2.4E-6	-0.25109989719931	6668.00261921965	0.0221381890999282
2.8E-6	-0.241570089594461	7779.3363890896	0.0113296423123561
3.2E-6	-0.233827120915521	8890.67015895954	0.00728616358998601
3.6E-6	-0.225488539261278	10002.0039288295	0.00637889704924397
4E-6	-0.215958731656428	11113.3376986994	0.00481989181895556
4.4E-6	-0.210598214878701	12224.6714685694	0.00409528642222263
4.8E-6	-0.201664020249154	13336.0052384393	0
5.2E-6	-0.191538599669002		
5.6E-6	-0.184391243965365		
6E-6	-0.174861436360516		
6.4E-6	-0.167714080656879		
6.8E-6	-0.158779886027332		
7.2E-6	-0.146867626521271		
7.6E-6	-0.139720270817634		
8E-6	-0.131977302138694		
8.4E-6	-0.124829946435057		
8.8E-6	-0.117086977756117		
9.2E-6	-0.104579105274752		
9.6E-6	-0.0986229755217209		
1E-5	-0.0902843938674778		
1.04E-5	-0.0795633603120223		
1.08E-5	-0.0724160046083853		
1.12E-5	-0.0640774229541421		
1.16E-5	-0.0545476153492928		
1.2E-5	-0.0432309688185342		
1.24E-5	-0.0354880001395941		
1.28E-5	-0.0295318703865632		
1.32E-5	-0.0194064498064108		
1.36E-5	-0.00987664220156148		
1.4E-5	-0.000942447572015226		
1.44E-5	0.0103741989587434		
1.48E-5	0.0163303287117742		
1.52E-5	0.0264557492919266		
1.56E-5	0.0347943309461698		
1.6E-5	0.0455153645016253		
1.64E-5	0.0544495591311716		
1.68E-5	0.0592144629335962		
1.72E-5	0.0699354964890517		
1.76E-5	0.0818477559951134		
1.8E-5	0.0872082727728412		
1.84E-5	0.0973336933529936		
1.88E-5	0.10626788798254		
1.92E-5	0.112819630710874		
1.96E-5	0.124731890216935		
2E-5	0.132474858895876		
2.04E-5	0.143791505426634		
2.08E-5	0.151534474105574		
2.12E-5	0.158681829809211		
2.16E-5	0.169402863364667		
2.2E-5	0.179528283944819		
2.24E-5	0.187271252623759		
2.28E-5	0.195014221302699		
2.32E-5	0.203948415932246		
2.36E-5	0.211691384611186		
2.4E-5	0.222412418166641		
2.44E-5	0.230155386845581		
2.48E-5	0.237898355524521		
2.52E-5	0.246832550154068		
2.56E-5	0.257553583709523		
2.6E-5	0.265892165363766		
2.64E-5	0.2724439080921		
2.68E-5	0.279591263795737		
2.72E-5	0.28971668437589		
2.76E-5	0.29745965305483		
2.8E-5	0.305798234709073		
2.84E-5	0.314732429338619		
2.88E-5	0.322475398017559		
2.92E-5	0.331409592647105		
2.96E-5	0.339152561326046		
3E-5	0.348086755955592		
3.04E-5	0.354042885708623		
3.08E-5	0.363572693313472		
3.12E-5	0.373102500918321		
3.16E-5	0.379058630671352		
3.2E-5	0.388588438276201		
3.24E-5	0.396331406955142		
3.28E-5	0.402883149683476		
3.32E-5	0.410030505387113		
3.36E-5	0.418369087041356		
3.4E-5	0.424325216794386		
3.44E-5	0.431472572498023		
3.48E-5	0.44040676712757		
3.52E-5	0.447554122831207		
