Temps	V1	Fréquence	S_Amplitude
0	0.172115426510572	0	0.0146135290352124
0.0001	-0.176297321915627	5.04803898358586	0
0.0002	-0.519179709255695	10.0960779671717	0
0.0003	-0.851001374423504	15.1441169507576	0
0.0004	-1.16623195633292	20.1921559343434	0
0.0005	-1.44828037172556	25.2401949179293	0
0.0006	-1.70820734277368	30.2882339015152	0
0.0007	-1.94048250839114	35.336272885101	0
0.0008	-2.12851478531957	40.3843118686869	0
0.0009	-2.27230417355895	45.4323508522727	0
0.001	-2.38291139528155	50.4803898358586	0
0.0011	-2.45480608940125	55.5284288194445	0.00973708954577997
0.0012	-2.46033645048738	60.5764678030303	0.00886607656761339
0.0013	-2.41609356179833	65.6245067866162	0.0254885526787082
0.0014	-2.31101670116186	70.672545770202	0.0205943205803629
0.0015	-2.18381839618087	75.7205847537879	0.0635375302132651
0.0016	-2.01790756359696	80.7686237373737	0.0423000306604235
0.0017	-1.80222348123789	85.8166627209596	0.139256847703757
0.0018	-1.55888759344816	90.8647017045455	0.0834947542780162
0.0019	-1.29896062240005	95.9127406881313	0.278343059653456
0.002	-1.01138184592128	100.960779671717	0.144929345815091
0.0021	-0.70168162509799	106.008818655303	0.486340636560818
0.0022	-0.386451043188572	111.056857638889	0.208091232341476
0.0023	-0.0601597391068935	116.104896622475	0.700027769206415
0.0024	0.260601203888655	121.152935606061	0.240774051405037
0.0025	0.586892507970333	126.200974589646	0.767343944379168
0.0026	0.896592728793621	131.249013573232	0.197206147493566
0.0027	1.18970186635852	136.297052556818	0.506965649418003
0.0028	1.45515919849277	141.345091540404	0.0574699003386829
0.0029	1.69849508628249	146.39313052399	0.0986482530102717
0.003	1.9197095297277	151.441169507576	0.0950743046748974
0.0031	2.10774180665612	156.489208491162	0.635140786017973
0.0032	2.25153119489551	161.537247474747	0.122217659050765
0.0033	2.36213841661811	166.585286458333	0.474530633681638
0.0034	2.44509383291006	171.633325441919	0.016105106731548
0.0035	2.48380636051297	176.681364425505	0.3163536590194
0.0036	2.46721527725458	181.729403409091	0.0711444196130709
0.0037	2.40085094422102	186.777442392677	0.615322386704102
0.0038	2.30683480575681	191.825481376263	0.0364696121653857
0.0039	2.17963650077581	196.873520359849	0.175807718146393
0.004	2.01372566819191	201.921559343434	0.0333580715030839
0.0041	1.80910230800509	206.96959832702	0.616265119575447
0.0042	1.58235750347376	212.017637310606	0.0240825572610702
0.0043	1.33902161568403	217.065676294192	0.302800096396995
0.0044	1.06250356137753	222.113715277778	0.0264702868314063
0.0045	0.774924784898758	227.161754261364	0.484656648250154
0.0046	0.47628528624773	232.20979324495	0.0305933321375867
0.0047	0.166585065424442	237.257832228535	0.630568986596236
0.0048	-0.137584794312716	242.305871212121	0.0163646685415179
0.0049	-0.447285015136003	247.353910195707	0.0727821804896737
0.005	-0.740394152700901	252.401949179293	0.0329407443854352
0.0051	-1.02797292917967	257.449988162879	0.555322681716864
0.0052	-1.29343026131392	262.498027146465	0.0815629770602669
0.0053	-1.53123578801751	267.546066130051	0.818569685573397
0.0054	-1.75798059254885	272.594105113636	0.109869863942096
0.0055	-1.95707359164953	277.642144097222	0.728825411778013
0.0056	-2.12298442423344	282.690183080808	0.109449688581271
0.0057	-2.25571309030056	287.738222064394	0.486531195278935
0.0058	-2.3552595898509	292.78626104798	0.0803588975035675
0.0059	-2.43268464505672	297.834300031566	0.266155786547117
0.006	-2.46586681157351	302.882339015152	0.0453962721105826
0.0061	-2.45480608940125	307.930377998737	0.126036284690233
0.0062	-2.39950247853994	312.978416982323	0.022484083723714
0.0063	-2.31101670116186	318.026455965909	0.0549076824084836
0.0064	-2.19487911835313	323.074494949495	0
0.0065	-2.04555936902761	328.122533933081	0.0234339419621948
0.0066	-1.87411817535758	333.170572916667	0
0.0067	-1.66949481517076	338.218611900253	0.0106323095765663
0.0068	-1.45381073281169	343.266650883838	0
0.0069	-1.21600520610809	348.314689867424	0
0.007	-0.961608596146107	353.36272885101	0
0.0071	-0.69062090292573	358.410767834596	0
0.0072	-0.414102848619223	363.458806818182	0
0.0073	-0.132054433226585	368.506845801768	0
0.0074	0.149993982166052	373.554884785354	0
0.0075	0.426512036472559	378.602923768939	0
0.0076	0.697499729692936	383.650962752525	0
0.0077	0.962957061827183	388.699001736111	0
0.0078	1.21735367178917	393.747040719697	0
0.0079	1.44962883740664	398.795079703283	0
0.008	1.65425219759345	403.843118686869	0
0.0081	1.85334519669414	408.891157670455	0
0.0082	2.02478639036417	413.93919665404	0
0.0083	2.17410613968968	418.987235637626	0
0.0084	2.28471336141229	424.035274621212	0
0.0085	2.3787294998765	429.083313604798	0
0.0086	2.44509383291006	434.131352588384	0
0.0087	2.47827599942684	439.17939157197	0
0.0088	2.47827599942684	444.227430555556	0
0.0089	2.43956347182393	449.275469539142	0
0.009	2.36766877770424	454.323508522727	0
0.0091	2.27918300032616	459.371547506313	0
0.0092	2.16304541751742	464.419586489899	0
0.0093	2.01925602927804	469.467625473485	0
0.0094	1.84781483560801	474.515664457071	0
0.0095	1.65978255867958	479.563703440657	0
0.0096	1.44962883740664	484.611742424242	0
0.0097	1.23394475504756	489.659781407828	0
0.0098	0.996139228343964	494.707820391414	0
0.0099	0.752803340554237	499.755859375	0
0.01	0.492876369506121	504.803898358586	0
0.0101	0.232949398458004	509.851937342172	0
0.0102	-0.0269775725901127	514.899976325758	0
0.0103	-0.286904543638229	519.948015309344	0
0.0104	-0.541301153600216	524.996054292929	0
0.0105	-0.795697763562202	530.044093276515	0
0.0106	-1.0335032902658	535.092132260101	0
0.0107	-1.26024809479713	540.140171243687	0
0.0108	-1.47040181607008		
0.0109	-1.6584340929985		
0.011	-1.8409360088408		
0.0111	-2.00131648033857		
0.0112	-2.13957550749183		
0.0113	-2.2446523681283		
0.0114	-2.33313814550638		
0.0115	-2.40503283962607		
0.0116	-2.45480608940125		
0.0117	-2.46586681157351		
0.0118	-2.44927572831511		
0.0119	-2.39397211745381		
0.012	-2.32760778442025		
0.0121	-2.23912200704217		
0.0122	-2.12851478531957		
0.0123	-2.00131648033857		
0.0124	-1.84646636992693		
0.0125	-1.6750251762569		
0.0126	-1.49805362150073		
0.0127	-1.31002134457231		
0.0128	-1.09986762329936		
0.0129	-0.884183540940285		
0.013	-0.657438736408949		
0.0131	-0.430693931877613		
0.0132	-0.198418766260147		
0.0133	0.039386760443449		
0.0134	0.266131564974785		
0.0135	0.498406730592251		
0.0136	0.725151535123587		
0.0137	0.940835617482662		
0.0138	1.15098933875561		
0.0139	1.35008233785629		
0.014	1.53258425369859		
0.0141	1.69849508628249		
0.0142	1.85887555778027		
0.0143	2.00266494601965		
0.0144	2.12986325100064		
0.0145	2.22940975055099		
0.0146	2.31236516684294		
0.0147	2.38425986096263		
0.0148	2.43956347182393		
0.0149	2.47827599942684		
0.015	2.48380636051297		
0.0151	2.47274563834071		
0.0152	2.4340331107378		
0.0153	2.37319913879037		
0.0154	2.29024372249842		
0.0155	2.20728830620646		
0.0156	2.10221144556999		
0.0157	1.975013140589		
0.0158	1.83122375234962		
0.0159	1.67084328085184		
0.016	1.51046280935407		
0.0161	1.33902161568403		
0.0162	1.15651969984174		
0.0163	0.957426700741053		
0.0164	0.752803340554237		
0.0165	0.548179980367422		
0.0166	0.338026259094477		
0.0167	0.122342176735401		
0.0168	-0.0878115445375443		
0.0169	-0.29796526581049		
0.017	-0.502588625997305		
0.0171	-0.71274234727025		
0.0172	-0.906304985284805		
0.0173	-1.09986762329936		
0.0174	-1.27683917805552		
0.0175	-1.44828037172556		
0.0176	-1.60866084322333		
0.0177	-1.75798059254885		
0.0178	-1.90176998078823		
0.0179	-2.02343792468309		
0.018	-2.12851478531957		
0.0181	-2.22253092378378		
0.0182	-2.29442561790347		
0.0183	-2.36632031202316		
0.0184	-2.41609356179833		
0.0185	-2.44927572831511		
0.0186	-2.46586681157351		
0.0187	-2.46033645048738		
0.0188	-2.43268464505672		
0.0189	-2.38844175636768		
0.019	-2.32760778442025		
0.0191	-2.25571309030056		
0.0192	-2.17828803509474		
0.0193	-2.08427189663053		
0.0194	-1.97366467490792		
0.0195	-1.85199673101306		
0.0196	-1.71373770385981		
0.0197	-1.57547867670655		
0.0198	-1.42615892738104		
0.0199	-1.27130881696939		
0.02	-1.10539798438549		
0.0201	-0.933956790715456		
0.0202	-0.756985235959291		
0.0203	-0.580013681203127		
0.0204	-0.386451043188572		
0.0205	-0.203949127346277		
0.0206	-0.0214472115039825		
0.0207	0.166585065424442		
0.0208	0.354617342352867		
0.0209	0.531588897109032		
0.021	0.714090812951326		
0.0211	0.891062367707491		
0.0212	1.06250356137753		
0.0213	1.2228840328753		
0.0214	1.37773414328694		
0.0215	1.5159931704402		
0.0216	1.65425219759345		
0.0217	1.78698086366057		
0.0218	1.90864880755544		
0.0219	2.01925602927804		
0.022	2.12433288991451		
0.0221	2.20175794512033		
0.0222	2.27918300032616		
0.0223	2.34001697227359		
0.0224	2.39532058313489		
0.0225	2.43956347182393		
0.0226	2.46721527725458		
0.0227	2.47827599942684		
0.0228	2.47827599942684		
0.0229	2.46168491616845		
0.023	2.4340331107378		
0.0231	2.38979022204876		
0.0232	2.32895625010133		
0.0233	2.26259191706777		
0.0234	2.19069722294807		
0.0235	2.10221144556999		
0.0236	2.00266494601965		
0.0237	1.89205772429705		
0.0238	1.77038978040218		
0.0239	1.64319147542119		
0.024	1.51046280935407		
0.0241	1.37220378220081		
0.0242	1.2228840328753		
0.0243	1.06803392246366		
0.0244	0.907653450965881		
0.0245	0.741742618381977		
0.0246	0.575831785798073		
0.0247	0.404390592128038		
0.0248	0.232949398458004		
0.0249	0.0615082047879696		
0.025	-0.109932988882065		
0.0251	-0.281374182552099		
0.0252	-0.447285015136003		
0.0253	-0.618726208806038		
0.0254	-0.784637041389942		
0.0255	-0.945017512887716		
0.0256	-1.09986762329936		
0.0257	-1.24918737262487		
0.0258	-1.38744639977813		
0.0259	-1.52570542693138		
0.026	-1.64737337082624		
0.0261	-1.76904131472111		
0.0262	-1.88517889752984		
0.0263	-1.99025575816631		
0.0264	-2.08980225771666		
0.0265	-2.16722731292248		
0.0266	-2.23912200704217		
0.0267	-2.2999559789896		
0.0268	-2.3552595898509		
0.0269	-2.40503283962607		
0.027	-2.43821500614285		
0.0271	-2.46033645048738		
0.0272	-2.46586681157351		
0.0273	-2.46033645048738		
0.0274	-2.43821500614285		
0.0275	-2.40503283962607		
0.0276	-2.36078995093703		
0.0277	-2.30548634007573		
0.0278	-2.2446523681283		
0.0279	-2.17828803509474		
0.028	-2.10086297988892		
0.0281	-2.01790756359696		
0.0282	-1.90730034187436		
0.0283	-1.80222348123789		
0.0284	-1.69161625951529		
0.0285	-1.56441795453429		
0.0286	-1.44275001063943		
0.0287	-1.31002134457231		
0.0288	-1.17176231741905		
0.0289	-1.02797292917967		
0.029	-0.878653179854155		
0.0291	-0.723803069442511		
0.0292	-0.568952959030867		
0.0293	-0.408572487533092		
0.0294	-0.253722377121449		
0.0295	-0.0878115445375443		
0.0296	0.0725689269602299		
0.0297	0.238479759544134		
0.0298	0.393329869955778		
0.0299	0.553710341453552		
0.03	0.708560451865196		
0.0301	0.86341056227684		
0.0302	1.01273031160235		
0.0303	1.15651969984174		
0.0304	1.29477872699499		
0.0305	1.42750739306211		
0.0306	1.54917533695698		
0.0307	1.67637364193797		
0.0308	1.78698086366057		
0.0309	1.89758808538318		
0.031	1.99713458493352		
0.0311	2.09115072339773		
0.0312	2.17410613968968		
0.0313	2.24047047272325		
0.0314	2.29577408358455		
0.0315	2.35660805553198		
0.0316	2.40638130530715		
0.0317	2.44509383291006		
0.0318	2.46721527725458		
0.0319	2.47827599942684		
0.032	2.48380636051297		
0.0321	2.46721527725458		
0.0322	2.44509383291006		
0.0323	2.40085094422102		
0.0324	2.35660805553198		
0.0325	2.29577408358455		
0.0326	2.22940975055099		
0.0327	2.15751505643129		
0.0328	2.06902927905321		
0.0329	1.975013140589		
0.033	1.8644059188664		
0.0331	1.74826833605766		
0.0332	1.6266003921628		
0.0333	1.49940208718181		
0.0334	1.36114306002855		
0.0335	1.2228840328753		
0.0336	1.07356428354979		
0.0337	0.918714173138142		
0.0338	0.758333701640368		
0.0339	0.592422869056463		
0.034	0.426512036472559		
0.0341	0.260601203888655		
0.0342	0.0891600102186203		
0.0343	-0.0822811834514141		
0.0344	-0.253722377121449		
0.0345	-0.419633209705353		
0.0346	-0.585544042289257		
0.0347	-0.751454874873161		
0.0348	-0.917365707457066		
0.0349	-1.07221581786871		
0.035	-1.22153556719422		
0.0351	-1.36532495543361		
0.0352	-1.50358398258686		
0.0353	-1.63631264865398		
0.0354	-1.75798059254885		
0.0355	-1.87411817535758		
0.0356	-1.99025575816631		
0.0357	-2.08427189663053		
0.0358	-2.17275767400861		
0.0359	-2.23912200704217		
0.036	-2.30548634007573		
0.0361	-2.36078995093703		
0.0362	-2.4105632007122		
0.0363	-2.44374536722898		
0.0364	-2.46033645048738		
0.0365	-2.46033645048738		
0.0366	-2.44927572831511		
0.0367	-2.42162392288446		
0.0368	-2.37738103419542		
0.0369	-2.31654706224799		
0.037	-2.25018272921443		
0.0371	-2.18381839618087		
0.0372	-2.10086297988892		
0.0373	-2.00131648033857		
0.0374	-1.89070925861597		
0.0375	-1.76904131472111		
0.0376	-1.63631264865398		
0.0377	-1.50358398258686		
0.0378	-1.35979459434748		
0.0379	-1.21047484502196		
0.038	-1.05562473461032		
0.0381	-0.884183540940285		
0.0382	-0.71274234727025		
0.0383	-0.541301153600216		
0.0384	-0.358799237757921		
0.0385	-0.176297321915627		
0.0386	0.00620459392666817		
0.0387	0.188706509768963		
0.0388	0.371208425611258		
0.0389	0.553710341453552		
0.039	0.730681896209717		
0.0391	0.913183812052011		
0.0392	1.07909464463592		
0.0393	1.23947511613369		
0.0394	1.39985558763146		
0.0395	1.54364497587085		
0.0396	1.6819040030241		
0.0397	1.82016303017735		
0.0398	1.94736133515835		
0.0399	2.05796855688095		
0.04	2.15198469534516		
0.0401	2.23494011163712		
0.0402	2.31236516684294		
0.0403	2.37319913879037		
0.0404	2.42297238856554		
0.0405	2.46168491616845		
0.0406	2.47827599942684		
0.0407	2.48380636051297		
0.0408	2.46721527725458		
0.0409	2.42850274965167		
0.041	2.36766877770424		
0.0411	2.30683480575681		
0.0412	2.22387938946486		
0.0413	2.13539361208677		
0.0414	2.02478639036417		
0.0415	1.89758808538318		
0.0416	1.75932905822992		
0.0417	1.61000930890441		
0.0418	1.45515919849277		
0.0419	1.28924836590886		
0.042	1.1122768111527		
0.0421	0.918714173138142		
0.0422	0.725151535123587		
0.0423	0.526058536022902		
0.0424	0.321435175836086		
0.0425	0.111281454563141		
0.0426	-0.0933419056236744		
0.0427	-0.30349562689662		
0.0428	-0.513649348169565		
0.0429	-0.71274234727025		
0.043	-0.911835346370935		
0.0431	-1.11092834547162		
0.0432	-1.28789990022779		
0.0433	-1.46487145498395		
0.0434	-1.62525192648172		
0.0435	-1.78010203689337		
0.0436	-1.92389142513275		
0.0437	-2.05108973011374		
0.0438	-2.16169695183635		
0.0439	-2.25018272921443		
0.044	-2.33313814550638		
