f(kHz)    phi(°)    V_e     V_s
100       11        1.599   1.496
150       15        1.621   1.512
200       19        1.651   1.535
250       22        1.690   1.564
300       27        1.732   1.595
350       30        1.763   1.621
400       35        1.799   1.647
450       38        1.821   1.661
